stock_code,firm_name,year,industry_code,industry_name,manufacturing,province_std,rd_intensity,rd_tax_deduction,rd_expense_est,patent_stock,gov_subsidy_rd,rd_deduction_rate,ln_assets,roa,lev,firm_age,dual_position,post2021,post2022,post2023,manufacturing_post2021,manufacturing_post2022,province_gdp,ln_gdp_prov,province_budget_exp,province_sci_tech_exp,sci_tech_exp_ratio,ip_protection_score,invention_apply,invention_grant,patent_apply_total,patent_grant_total,tech_market_turnover
002725,跃岭股份,2019.0,C36,汽车制造业,1,浙江省,3.23,-2506145.3,13366108.266666666,472.0,333000.0,0.75,20.85,0.02926,0.152414,5.0,0,0,0,0,0,0,64632.0,11.076464923159545,10053.03,516.06,5.13,88.84,112981.0,33964.0,435883.0,285342.0,888.01
002729,好利科技,2019.0,C39,计算机、通信和其他电子设备制造业,1,,5.87,-1080241.55,5761288.266666667,39.0,1072478.83,0.75,20.01,0.043973,0.089105,5.0,1,0,0,0,0,0,,,,,,,,,,,
002733,雄韬股份,2019.0,C38,电气机械和器材制造业,1,,1.93,-4925518.95,26269434.400000002,126.0,,0.75,22.21,0.03737,0.433676,5.0,0,0,0,0,0,0,,,,,,,,,,,
002752,昇兴股份,2019.0,C33,金属制品业,0,福建省,0.3832,-1623296.76,8657582.72,101.0,1137816.49,0.75,22.27,0.009699,0.598937,4.0,0,0,0,0,0,0,42479.1,10.656767469250706,5077.93,133.41,2.63,84.56,30019.0,8963.0,153133.0,98955.0,139.59
002753,永东股份,2019.0,C26,化学原料和化学制品制造业,1,,3.07,-9861637.68,52595400.96,29.0,,0.75,21.59,0.038119,0.249061,4.0,0,0,0,0,0,0,,,,,,,,,,,
002768,国恩股份,2019.0,C29,橡胶和塑料制品业,0,山东省,3.26,-19742193.72,105291699.83999999,79.0,3299498.0,0.75,22.3,0.082688,0.488287,4.0,1,0,0,0,0,0,72024.3,11.184758841057878,10739.76,305.76,2.85,87.63,69350.0,20652.0,263211.0,146481.0,1110.02
002771,真视通,2019.0,I65,软件和信息技术服务业,0,北京市,6.46,-6482947.42,34575719.57333333,7.0,,0.75,20.89,0.027654,0.421111,4.0,0,0,0,0,0,0,37767.0,10.539190984434368,7408.19,433.42,5.85,87.98,129930.0,53127.0,226113.0,131716.0,5695.28
002778,中晟高科,2019.0,C25,石油、煤炭及其他燃料加工业,0,,3.04,-1861881.24,9930033.28,14.0,471500.0,0.75,20.51,0.020041,0.203432,3.0,1,0,0,0,0,0,,,,,,,,,,,
002792,通宇通讯,2019.0,C39,计算机、通信和其他电子设备制造业,1,,8.18,-15078282.89,80417508.74666667,519.0,4021800.0,0.75,21.87,0.009782,0.354687,3.0,0,0,0,0,0,0,,,,,,,,,,,
002795,永和智控,2019.0,C34,通用设备制造业,1,浙江省,3.14,-1802925.72,9615603.84,28.0,100000.0,0.75,20.44,0.079577,0.195998,3.0,0,0,0,0,0,0,64632.0,11.076464923159545,10053.03,516.06,5.13,88.84,112981.0,33964.0,435883.0,285342.0,888.01
002811,郑中设计,2019.0,E50,建筑装饰、装修和其他建筑业,0,广东省,3.9,-3651523.01,19474789.386666667,79.0,500000.0,0.75,21.95,0.038637,0.522238,3.0,0,0,0,0,0,0,110468.1,11.6124820704788,17297.85,1168.79,6.76,90.86,203311.0,59742.0,807700.0,527390.0,2223.08
002812,恩捷股份,2019.0,C29,橡胶和塑料制品业,0,云南省,4.9,-11609322.85,61916388.53333333,183.0,6156789.08,0.75,23.22,0.076729,0.599684,3.0,0,0,0,0,0,0,23902.1,10.081721600168388,6770.09,59.0,0.87,76.67,8996.0,2174.0,35212.0,22324.0,82.7
002815,崇达技术,2019.0,C39,计算机、通信和其他电子设备制造业,1,,5.84,-21901967.09,116810491.14666666,329.0,5108729.92,0.75,22.41,0.097787,0.276482,3.0,1,0,0,0,0,0,,,,,,,,,,,
002824,和胜股份,2019.0,C32,有色金属冶炼和压延加工业,0,,4.14,-7557112.51,40304600.053333335,79.0,1322181.08,0.75,21.08,0.009756,0.411973,2.0,0,0,0,0,0,0,,,,,,,,,,,
002828,贝肯能源,2019.0,B11,开采专业及辅助性活动,0,,1.69,-2871471.32,15314513.706666665,40.0,416000.0,0.75,21.65,0.017248,0.595277,3.0,1,0,0,0,0,0,,,,,,,,,,,
002832,比音勒芬,2019.0,C18,纺织服装、服饰业,0,,3.24,-6632793.94,35374901.013333336,51.0,,0.75,21.65,0.161072,0.224211,3.0,0,0,0,0,0,0,,,,,,,,,,,
002836,新宏泽,2019.0,C23,印刷和记录媒介复制业,0,,5.08,-865736.36,4617260.586666667,64.0,183400.0,0.75,20.45,0.037205,0.383495,3.0,0,0,0,0,0,0,,,,,,,,,,,
002837,英维克,2019.0,C35,专用设备制造业,1,广东省,6.64,-5909460.68,31517123.626666665,285.0,8290710.88,0.75,21.58,0.0669,0.469733,3.0,1,0,0,0,0,0,110468.1,11.6124820704788,17297.85,1168.79,6.76,90.86,203311.0,59742.0,807700.0,527390.0,2223.08
002843,泰嘉股份,2019.0,C33,金属制品业,0,,3.56,-1592786.9,8494863.466666667,59.0,63084.76,0.75,20.48,0.078403,0.252251,2.0,0,0,0,0,0,0,,,,,,,,,,,
002850,科达利,2019.0,C33,金属制品业,0,广东省,5.84,-12890735.36,68750588.58666666,154.0,3234444.45,0.75,22.05,0.061346,0.319502,2.0,0,0,0,0,0,0,110468.1,11.6124820704788,17297.85,1168.79,6.76,90.86,203311.0,59742.0,807700.0,527390.0,2223.08
002853,皮阿诺,2019.0,C21,家具制造业,1,,2.54,-3810146.3,20320780.266666666,220.0,1362371.41,0.75,21.42,0.086215,0.379771,2.0,1,0,0,0,0,0,,,,,,,,,,,
002859,洁美科技,2019.0,C39,计算机、通信和其他电子设备制造业,1,浙江省,7.47,-7679591.12,40957819.306666665,201.0,,0.75,21.47,0.056045,0.247066,2.0,1,0,0,0,0,0,64632.0,11.076464923159545,10053.03,516.06,5.13,88.84,112981.0,33964.0,435883.0,285342.0,888.01
